run_id,protocol,feature_block,regime,observations,model_mae,b0_mae,mae_skill_vs_b0
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B1,normalization,36,742920.3358566945,724011.3944293561,-0.02611691138126604
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B1,pandemic_shock,7,2015588.6573001214,1864739.9512806912,-0.08089530441809223
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B1,pre_pandemic,62,571436.7182106477,595329.1102923424,0.0401330821366388
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B1,recovery,24,1277815.4300722934,1271284.2902633396,-0.005137434528983853
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B2,normalization,36,726451.95591398,724011.3944293561,-0.003370888225519675
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B2,pandemic_shock,7,1855496.3474793578,1864739.9512806912,0.004957047118009594
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B2,pre_pandemic,62,602174.0816117026,595329.1102923424,-0.011497793743025397
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B2,recovery,24,1286704.5328596337,1271284.2902633396,-0.012129657161971119
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B5,normalization,36,745479.0585594955,724011.3944293561,-0.029651003140716448
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B5,pandemic_shock,7,2011173.0942325667,1864739.9512806912,-0.0785273801053632
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B5,pre_pandemic,62,579500.1503890919,595329.1102923424,0.026588587101809114
ablation_20260811T165312Z_69334f2b,one_step_ex_ante_snapshot_vintage_sensitivity,B5,recovery,24,1288409.698649144,1271284.2902633396,-0.013470951003616172
