date,actual,forecast,error,absolute_percentage_error
2025-01-01,3355818.0,3245893.0,-109925.0,3.275654400804811
2025-02-01,2782758.0,2684623.0,-98135.0,3.526537341730758
2025-03-01,2982576.0,3079574.0,96998.0,3.2521551839751943
2025-04-01,4242307.0,4040974.0,-201333.0,4.745837583182924
2025-05-01,5618724.0,5585634.0,-33090.0,0.5889237485236861
2025-06-01,6551137.0,6471276.0,-79861.0,1.2190402978902746
2025-07-01,7403653.0,7395701.0,-7952.0,0.1074064384162791
2025-08-01,8912005.0,8661295.0,-250710.0,2.8131716712456964
2025-09-01,7324078.0,7149583.0,-174495.0,2.382484184357403
2025-10-01,7079267.0,6723819.0,-355448.0,5.020971804001742
2025-11-01,4255110.0,4018247.0,-236863.0,5.566554096133825
2025-12-01,3409623.0,3175828.0,-233795.0,6.856916439148844
