protocol,model,mae,rmse,mape,smape,wape,mase,rmsse,r2,bias,mae_skill_vs_seasonal_naive,rmse_skill_vs_seasonal_naive,interval_95_coverage,interval_95_mean_width,interval_95_winkler,runtime_seconds,seasonal_naive_mae,seasonal_naive_rmse,folds,observations,mean_fold_mae_skill_vs_seasonal_naive,mean_fold_rmse_skill_vs_seasonal_naive
fixed_origin_12m_ex_ante,theta,630943.4645667389,805606.4805359155,28.916269197932362,17.575261063338413,25.66490908464332,1.8650387777389525,1.5510978055482125,-1.767460572528414,221465.91589177403,0.3068032734481094,0.2572250621462203,0.9797979797979799,8586299.93029436,10110614.794375587,0.02781128180636601,910193.9469696969,1084590.2836513105,11,126.0,0.11339249079362251,0.027852220671491512
fixed_origin_12m_ex_ante,sarima_111_111_12,732278.3802182098,917704.1948586691,31.1257378992641,20.267119115225317,27.56760687224873,2.1746300962152323,1.7853907342993265,-1.4651126289665186,39165.830840946386,0.19546995158979064,0.1538701676644324,0.8636363636363636,3674591.1481782044,11433333.01297245,0.12853187271817165,910193.9469696969,1084590.2836513105,11,126.0,-0.07051444861417519,-0.08839095557317775
fixed_origin_12m_ex_ante,ets_holt_winters,733508.5413435752,926413.3910284702,27.85545180786306,19.469331958676207,25.396068511010608,2.0607485189469994,1.69114452868833,-0.7823385693691939,-104876.58495302896,0.1941184142284832,0.14584022649578998,0.8964646464646464,3201717.6601464767,8643574.157371199,0.05881584541533481,910193.9469696969,1084590.2836513105,11,126.0,-0.2879413186229303,-0.33481113630435205
fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,775558.2254473951,949578.5636948843,32.40138764262255,21.793761825230447,28.046706007804662,2.312040192178469,1.8335122643378716,-1.1174650098411396,684.4943000877233,0.14791981639797058,0.12448177158835005,0.8308080808080809,2759120.058405601,11033868.507614745,0.03250419089189646,910193.9469696969,1084590.2836513105,11,126.0,-0.3752742110300866,-0.4377786451580528
fixed_origin_12m_ex_ante,seasonal_naive,910193.9469696969,1084590.2836513105,38.20554232084377,28.75525777138746,32.820258553159476,2.528078920900011,1.9319173484073355,-1.600578479750179,-201484.65404040404,0.0,0.0,0.9318181818181818,6830899.980026045,10901941.076624924,0.003843990895389156,910193.9469696969,1084590.2836513105,11,126.0,0.0,0.0
fixed_origin_12m_ex_ante,seasonal_moving_average_3,993826.1464646463,1159488.0330957256,36.94469994871164,28.70364285427649,31.270786606383055,2.574381818698596,1.9528857535056907,-0.9094642285022757,-332967.35185185174,-0.09188393284023211,-0.06905626075891935,0.7247474747474748,2681160.811271438,12438093.667151947,0.024373163649050348,910193.9469696969,1084590.2836513105,11,126.0,-0.7381960759882271,-0.6872603758036341
fixed_origin_12m_ex_ante,same_month_historical_mean,1138174.8289617803,1252610.7368309342,36.810441908648016,34.03502175751249,32.17385251769755,2.7927307124156897,1.974180123677404,-0.35580709130349003,-676683.781629483,-0.25047505836651496,-0.154916059743756,0.6717171717171717,2456264.24148728,11523054.676139623,0.0018960999917577612,910193.9469696969,1084590.2836513105,11,126.0,-1.8903785071479577,-1.6323041412323624
fixed_origin_12m_ex_ante,drift,1787146.8691881301,2385662.217956755,40.93819765798998,51.401752590199294,47.654881423499795,4.901229895383173,4.170204268773663,-1.0781953191538944,-1602612.6408953217,-0.9634791850001498,-1.1995976304760365,1.0,15070112.637952479,15070112.637952479,0.0011989363490349867,910193.9469696969,1084590.2836513105,11,126.0,-3.8666620734672605,-4.487712665245437
fixed_origin_12m_ex_ante,naive_last,1815946.1237373739,2413644.426174108,41.34120901756882,52.47198053906886,48.212977232866926,4.9796574276619765,4.223028092493634,-1.1146448053879048,-1645497.8156565658,-0.9951199739167593,-1.2253974266194705,0.9469696969696969,8843390.36030342,9834460.053678056,0.0012426454446871173,910193.9469696969,1084590.2836513105,11,126.0,-3.96624478790593,-4.576029014525481
one_step_ex_ante,seasonal_naive,848683.3174603175,848683.3174603175,33.468346152806916,26.491223289597873,33.46834615280691,2.171754601405675,1.2744655104679499,,-247604.14285714287,0.0,0.0,0.8174603174603174,2899072.506430851,10993169.622909402,0.001595999244741644,848683.3174603175,848683.3174603175,132,126.0,0.0,0.0
