run_id,fold_id,protocol,model,date,horizon,actual,forecast,lower_95,upper_95,seasonal_naive_forecast,error,absolute_error,year,month,regime,full_evaluable,comparable_to_seasonal_naive,forecast_origin,target_available_through,target_publication_delay_months
ablation_20260811T165312Z_69334f2b,one_step_201501,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-01-01,1,1762004.0,1766097.0211394285,,,1575399.0,4093.021139428485,4093.021139428485,2015,1,pre_pandemic,True,True,2014-12-31,2014-09-01,3
ablation_20260811T165312Z_69334f2b,one_step_201502,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-02-01,1,1564925.0,1684427.649570319,,,1523245.0,119502.6495703191,119502.6495703191,2015,2,pre_pandemic,True,True,2015-01-31,2014-10-01,3
ablation_20260811T165312Z_69334f2b,one_step_201503,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-03-01,1,2017645.0,2216339.621955049,,,1967114.0,198694.62195504922,198694.62195504922,2015,3,pre_pandemic,True,True,2015-02-28,2014-11-01,3
ablation_20260811T165312Z_69334f2b,one_step_201504,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-04-01,1,2626663.0,2797273.357478893,,,2573139.0,170610.3574788929,170610.3574788929,2015,4,pre_pandemic,True,True,2015-03-31,2014-12-01,3
ablation_20260811T165312Z_69334f2b,one_step_201505,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-05-01,1,3775013.0,3826006.6646253327,,,3863883.0,50993.66462533269,50993.66462533269,2015,5,pre_pandemic,True,True,2015-04-30,2015-01-01,3
ablation_20260811T165312Z_69334f2b,one_step_201506,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-06-01,1,4349675.0,4392556.795829626,,,4530079.0,42881.7958296258,42881.7958296258,2015,6,pre_pandemic,True,True,2015-05-31,2015-02-01,3
ablation_20260811T165312Z_69334f2b,one_step_201507,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-07-01,1,5244965.0,5219171.351293448,,,4952404.0,-25793.64870655164,25793.64870655164,2015,7,pre_pandemic,True,True,2015-06-30,2015-03-01,3
ablation_20260811T165312Z_69334f2b,one_step_201508,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-08-01,1,6748708.0,6138922.418134222,,,6635627.0,-609785.5818657782,609785.5818657782,2015,8,pre_pandemic,True,True,2015-07-31,2015-04-01,3
ablation_20260811T165312Z_69334f2b,one_step_201509,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-09-01,1,5415322.0,5271309.631654896,,,5495982.0,-144012.36834510416,144012.36834510416,2015,9,pre_pandemic,True,True,2015-08-31,2015-05-01,3
ablation_20260811T165312Z_69334f2b,one_step_201510,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-10-01,1,4161806.0,4246579.544337253,,,4293279.0,84773.54433725309,84773.54433725309,2015,10,pre_pandemic,True,True,2015-09-30,2015-06-01,3
ablation_20260811T165312Z_69334f2b,one_step_201511,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-11-01,1,2236998.0,2552219.3262150986,,,2264373.0,315221.3262150986,315221.3262150986,2015,11,pre_pandemic,True,True,2015-10-31,2015-07-01,3
ablation_20260811T165312Z_69334f2b,one_step_201512,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2015-12-01,1,1713807.0,2067505.8023077126,,,1740546.0,353698.8023077126,353698.8023077126,2015,12,pre_pandemic,True,True,2015-11-30,2015-08-01,3
ablation_20260811T165312Z_69334f2b,one_step_201601,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2016-01-01,1,1691287.0,1912883.2175255788,,,1762004.0,221596.2175255788,221596.2175255788,2016,1,pre_pandemic,True,True,2015-12-31,2015-09-01,3
